,Dataset No.,Run No.,Power weight,Num. weight,Dist. weight,Power_first,Num. Active Sensors_first,Avg. Dist. to Sink node_first,Power_last,Num. Active Sensors_last,Avg. Dist. to Sink node_last
29,0.0,1.0,0.6,0.2,0.2,16925.677217605615,30.0,296.01784211133975,10313.355961477204,31.0,288.47408509073904
30,0.0,1.0,0.7,0.2,0.1,14725.791973550227,32.0,315.7108177092995,10649.80200808409,31.0,296.8814054010456
31,0.0,1.0,0.1,0.3,0.6,14182.531937042062,34.0,307.4475414793712,15485.774945394714,24.0,247.36265259172964
32,0.0,1.0,0.5,0.3,0.2,16118.505202851067,27.0,300.5906997077724,10313.355961477204,31.0,288.47408509073904
33,0.0,1.0,0.6,0.3,0.1,16951.181168816453,28.0,306.1261402777914,10731.533708866144,32.0,293.2435909804507
34,0.0,1.0,0.1,0.4,0.5,17426.360812784762,29.0,256.0693062250097,13071.475409737235,27.0,262.99915467242755
35,0.0,1.0,0.5,0.4,0.1,15989.181356694113,30.0,298.0531673719077,11118.826722322508,31.0,290.8563904437398
36,0.0,1.0,0.1,0.5,0.4,15509.085117603827,33.0,301.57416349483117,12517.212045089056,25.0,291.55904350256407
37,0.0,1.0,0.1,0.6,0.3,16361.339680713281,28.0,278.4394749698426,13748.211765986129,23.0,280.9961945215321
38,0.0,1.0,0.1,0.7,0.2,16339.900090974086,34.0,289.6019666533668,15398.267339925458,21.0,278.3399048850196
39,0.0,1.0,0.1,0.8,0.1,19035.23834363163,25.0,303.8513485053402,15952.277515582125,20.0,302.9642505505709
40,0.0,2.0,0.1,0.1,0.8,19254.229060050704,25.0,303.8861898812579,18703.783180855695,25.0,229.7262833517884
41,0.0,2.0,0.2,0.1,0.7,20905.63501694532,23.0,309.12613872403335,11071.774501575559,29.0,286.50748985153297
42,0.0,2.0,0.5,0.1,0.4,18196.037767289756,28.0,303.8725621839438,10093.45594910484,31.0,289.2472494301749
43,0.0,2.0,0.6,0.1,0.3,16944.889803286933,27.0,304.68285194925164,10068.489488305635,31.0,289.01661137752296
44,0.0,2.0,0.7,0.1,0.2,15457.545843794092,32.0,305.70076275989715,10068.489488305635,31.0,289.01661137752296
45,0.0,2.0,0.8,0.1,0.1,17203.898724954353,31.0,291.06001514823885,10210.637590928156,31.0,289.5054089662936
46,0.0,2.0,0.1,0.2,0.7,15377.250538193603,34.0,281.6024247060022,16762.442369296492,26.0,240.10038944961246
47,0.0,2.0,0.2,0.2,0.6,21291.38731535626,27.0,329.11765261877116,11071.774501575559,29.0,286.50748985153297
48,0.0,2.0,0.5,0.2,0.3,14577.147415003945,34.0,312.00240385358967,9953.218198058365,31.0,289.38754170722876
49,0.0,2.0,0.6,0.2,0.2,21294.1909645969,24.0,325.5194153466679,9953.218198058365,31.0,289.38754170722876
50,0.0,2.0,0.7,0.2,0.1,19404.32647762115,24.0,265.0791987348096,9953.218198058365,31.0,289.38754170722876
51,0.0,2.0,0.1,0.3,0.6,22122.127715413357,26.0,343.3175080251275,14339.147249553323,27.0,242.3904959752215
52,0.0,2.0,0.5,0.3,0.2,21781.36229677514,24.0,319.9511274211117,9953.218198058365,31.0,289.38754170722876
53,0.0,2.0,0.6,0.3,0.1,21061.32682074548,24.0,289.99512647149976,9984.423306573304,31.0,289.11031241846933
54,0.0,2.0,0.1,0.4,0.5,17139.33377233395,30.0,268.10455756762474,12653.097825755167,30.0,253.25113098677258
55,0.0,2.0,0.5,0.4,0.1,19263.146460650092,28.0,286.1652524082191,10066.573876451468,31.0,289.3122499280024
56,0.0,2.0,0.1,0.5,0.4,22265.361174924998,25.0,307.75866785669496,12981.107699501914,26.0,272.6730252983662
57,0.0,2.0,0.1,0.6,0.3,17238.193600590093,29.0,305.05448664367725,14311.691029241756,23.0,299.22167091065234
58,0.0,2.0,0.1,0.7,0.2,17042.56502685811,32.0,320.41502757227,15811.445471635026,19.0,270.1385726058113
59,0.0,2.0,0.1,0.8,0.1,25090.072353018128,26.0,352.5698717886322,15811.445471635026,19.0,270.1385726058113
60,0.0,3.0,0.1,0.1,0.8,16443.718708502536,26.0,292.7398958404513,17967.40835751067,24.0,224.00847389592022
61,0.0,3.0,0.2,0.1,0.7,16223.318298154467,37.0,321.11699552035395,10104.014156345484,33.0,288.7691574734347
62,0.0,3.0,0.5,0.1,0.4,15865.965957486766,33.0,294.2519404887901,9921.073286144476,34.0,300.16765509767646
63,0.0,3.0,0.6,0.1,0.3,16638.771163801037,28.0,283.4915436485036,9920.31182749082,34.0,300.0219852203371
64,0.0,3.0,0.7,0.1,0.2,19881.030205053776,24.0,258.069700033242,9760.027485505128,35.0,305.13936280407495
65,0.0,3.0,0.8,0.1,0.1,19964.79729251342,32.0,336.1459865463319,9760.027485505128,35.0,305.13936280407495
66,0.0,3.0,0.1,0.2,0.7,15085.70140757039,28.0,292.70845110984953,15793.87753985401,28.0,228.88484724294617
67,0.0,3.0,0.2,0.2,0.6,13958.07889972001,35.0,296.31514627247,10058.538876902347,34.0,291.2207869015569
68,0.0,3.0,0.5,0.2,0.3,17253.483375498825,32.0,328.001335024426,9884.77787094298,35.0,304.5029968643588
69,0.0,3.0,0.6,0.2,0.2,15062.024529544302,33.0,289.8569117936305,9884.77787094298,35.0,304.5029968643588
70,0.0,3.0,0.7,0.2,0.1,14233.990759067581,39.0,318.14129104977286,9760.027485505128,35.0,305.13936280407495
71,0.0,3.0,0.1,0.3,0.6,16130.416918368568,32.0,291.7340792222054,14199.267883162483,27.0,238.96059914271385
72,0.0,3.0,0.5,0.3,0.2,16176.101110519237,32.0,267.4886372364098,9884.77787094298,35.0,304.5029968643588
73,0.0,3.0,0.6,0.3,0.1,22437.57177843326,23.0,307.0145090461821,9884.77787094298,35.0,304.5029968643588
74,0.0,3.0,0.1,0.4,0.5,16026.90004149056,31.0,283.0165181750347,12573.263140871173,31.0,254.115428917294
75,0.0,3.0,0.5,0.4,0.1,14254.104957273097,34.0,305.3213378467106,10468.940112817165,31.0,289.1696513804146
