,Dataset No.,Run No.,Power weight,Num. weight,Dist. weight,Power_first,Num. Active Sensors_first,Avg. Dist. to Sink node_first,Power_last,Num. Active Sensors_last,Avg. Dist. to Sink node_last
16,1.0,0.0,0.1,0.5,0.4,21642.81922046371,23.0,282.683290179424,12986.664048225452,26.0,282.23872973033406
17,1.0,0.0,0.1,0.6,0.3,14962.200447713676,37.0,304.5561174565327,14297.106023344964,24.0,288.4482364752702
18,1.0,0.0,0.1,0.7,0.2,16188.389418699908,36.0,299.5370538523842,15369.44180990221,22.0,283.00715732907565
19,1.0,0.0,0.1,0.8,0.1,22630.295735953103,22.0,270.5997919373213,15955.231748219772,20.0,303.52735495015406
20,1.0,1.0,0.1,0.1,0.8,16871.045637933676,36.0,272.9255013962153,18311.481789553185,25.0,226.58036274715255
21,1.0,1.0,0.2,0.1,0.7,13674.8677109593,38.0,277.9503079690626,10760.591651682083,31.0,268.91181266634953
22,1.0,1.0,0.5,0.1,0.4,17026.471623270067,30.0,311.05957025168505,12568.627725992665,30.0,290.25379705940634
23,1.0,1.0,0.6,0.1,0.3,23115.838090254623,26.0,273.3921233353891,11013.691914940384,30.0,282.70458162806545
24,1.0,1.0,0.7,0.1,0.2,22427.013785337094,29.0,332.3072448792104,11013.691914940384,30.0,282.70458162806545
25,1.0,1.0,0.8,0.1,0.1,19524.85683120437,28.0,301.23969383091224,15967.803103834542,25.0,269.1953338780538
26,1.0,1.0,0.1,0.2,0.7,16508.16509723409,38.0,332.41562843804047,15386.485869586631,25.0,221.49637107850464
27,1.0,1.0,0.2,0.2,0.6,17061.189936799048,34.0,275.62849942423463,10760.591651682083,31.0,268.91181266634953
28,1.0,1.0,0.5,0.2,0.3,21063.267825971256,30.0,308.11068758348506,10410.590844455208,31.0,271.8432896028569
29,1.0,1.0,0.6,0.2,0.2,17078.015261309978,32.0,313.3268947761414,10410.590844455208,31.0,271.8432896028569
30,1.0,1.0,0.7,0.2,0.1,15003.793338323372,33.0,287.4825871198024,11182.510436008495,34.0,279.3624144243747
31,1.0,1.0,0.1,0.3,0.6,17174.997746530196,30.0,303.3618250921647,14003.0729115946,28.0,233.66775442559455
32,1.0,1.0,0.5,0.3,0.2,16507.655748751502,34.0,284.35088553667134,10410.590844455208,31.0,271.8432896028569
33,1.0,1.0,0.6,0.3,0.1,25353.959171087175,24.0,283.2023324630192,11182.510436008495,34.0,279.3624144243747
34,1.0,1.0,0.1,0.4,0.5,16637.395505025543,34.0,294.4999768674109,12629.990597959024,30.0,250.28710009613437
35,1.0,1.0,0.5,0.4,0.1,23846.19037611381,23.0,272.6082708314754,11514.143132938189,33.0,281.09172198946607
36,1.0,1.0,0.1,0.5,0.4,24434.41023355141,29.0,273.4599304619943,12475.21472218187,24.0,275.6862905221014
37,1.0,1.0,0.1,0.6,0.3,18842.646647460817,28.0,270.32812686303305,13552.363993763083,23.0,283.4918339223792
38,1.0,1.0,0.1,0.7,0.2,17502.43224469157,26.0,273.31142630874683,14404.207510482425,21.0,280.0370799621577
39,1.0,1.0,0.1,0.8,0.1,17429.530710271083,33.0,246.55623145925625,15671.468080546458,19.0,264.4219705502183
40,1.0,2.0,0.1,0.1,0.8,15658.552450889534,31.0,284.2407124659221,17822.878770985622,23.0,222.24852836188387
41,1.0,2.0,0.2,0.1,0.7,16869.200246820226,30.0,316.2661373110089,11637.422408550021,32.0,284.65846384549275
42,1.0,2.0,0.5,0.1,0.4,16967.025076211452,32.0,308.6412664487645,13936.91236270725,27.0,288.45178912310524
43,1.0,2.0,0.6,0.1,0.3,15063.319383523505,31.0,280.8495851587686,12250.444285448057,28.0,292.8867187448379
44,1.0,2.0,0.7,0.1,0.2,29402.85897340739,27.0,319.3384886277853,12250.444285448057,28.0,292.8867187448379
